Nummer;TAN;START;END;Interviewdauer [sec];Expected Language;STATUS;STATUS_TEXT;current_Q;Q1A1_1;Q1A2_1;Q1A3_1;Q1A4_1;Q1A5_1;Q1A6_1;Q1A7_1;Q1A8_1;Q1A9_1;Q1A10_1;Q2A1_1;Q2A2_1;Q2A3_1;Q2A4_1;Q2A5_1;Q2A6_1;Q2A7_1;Q2A8_1;Q2A9_1;Q2A10_1;Q3A1_1;Q3A2_1;Q3A3_1;Q3A4_1;Q3A5_1;Q3A6_1;Q3A7_1;Q3A8_1;Q3A9_1;Q3A10_1;Q4;Q5A1;Q5A2;Q5A3;Q5A4;Q5A5;Q5A6;Q5A7;Q5A8;Q5A9;Q6A1;Q6A2;Q6A3;Q6A4;Q6A5;Q6A6;Q6A7;Q6A8;Q7A1;Q8A1;Q9A1;Q10;Q11;Q12;Q13;HTTP_USER_AGENT;IP_START;IP_END;QUESTIONNAIRE;SURVEY;I_ID;interviewer_name;ST_ID;QUESTION_ORDER;I_SURVEY;redem_r;redem_gqs;redem_oes;redem_ts;redem_check_time
;;;;;;;;;Please indicate how often you usually eat the following types of food. Think about a normal week. / Red meat (e.g., beef, pork);Please indicate how often you usually eat the following types of food. Think about a normal week. / Poultry (e.g., chicken, turkey);Please indicate how often you usually eat the following types of food. Think about a normal week. / Fish or seafood;Please indicate how often you usually eat the following types of food. Think about a normal week. / Eggs;Please indicate how often you usually eat the following types of food. Think about a normal week. / Dairy products (e.g., milk, cheese, yogurt);Please indicate how often you usually eat the following types of food. Think about a normal week. / Fruits;Please indicate how often you usually eat the following types of food. Think about a normal week. / Vegetables (cooked or raw);Please indicate how often you usually eat the following types of food. Think about a normal week. / Plant-based meat substitutes (e.g., tofu, seitan);Please indicate how often you usually eat the following types of food. Think about a normal week. / Sweets or desserts;Please indicate how often you usually eat the following types of food. Think about a normal week. / Fast food (e.g., burgers, fries, pizza);To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I believe that eating meat is essential for staying healthy.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I try to eat a balanced diet every day.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / A plant-based diet is generally healthier than an animal-based one.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I often eat whatever is most convenient, regardless of health.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I feel guilty when I eat unhealthy food.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I enjoy trying out new or unusual foods.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I avoid processed foods whenever possible.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I don’t care much about what I eat.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / Taste is more important to me than nutrition.;To what extent do you agree or disagree with the following statements about nutrition and eating? Please read each statement carefully and select the answer that best matches your opinion. / I trust my own judgment more than expert advice when it comes to nutrition.;How often do you show the following eating behaviors? Please think about your typical week. / I eat breakfast every day.;How often do you show the following eating behaviors? Please think about your typical week. / I skip meals during the day.;How often do you show the following eating behaviors? Please think about your typical week. / I snack between meals.;How often do you show the following eating behaviors? Please think about your typical week. / I plan my meals in advance.;How often do you show the following eating behaviors? Please think about your typical week. / I eat while watching TV or using my phone.;How often do you show the following eating behaviors? Please think about your typical week. / I cook most of my meals myself.;How often do you show the following eating behaviors? Please think about your typical week. / I check ingredients or nutrition labels before buying food.;How often do you show the following eating behaviors? Please think about your typical week. / I eat only when I’m hungry.;How often do you show the following eating behaviors? Please think about your typical week. / I often eat out or order takeaway.;How often do you show the following eating behaviors? Please think about your typical week. / I eat late at night.;Which of the following best describes your current diet? (Please choose only one.);Which of the following foods do you eat regularly? (You may select more than one.) / Chicken;Which of the following foods do you eat regularly? (You may select more than one.) / Cheese;Which of the following foods do you eat regularly? (You may select more than one.) / Bacon or sausage;Which of the following foods do you eat regularly? (You may select more than one.) / Eggs;Which of the following foods do you eat regularly? (You may select more than one.) / Fish or seafood;Which of the following foods do you eat regularly? (You may select more than one.) / Plant-based meat substitutes (e.g., tofu, tempeh);Which of the following foods do you eat regularly? (You may select more than one.) / Milk or dairy products;Which of the following foods do you eat regularly? (You may select more than one.) / Fruits;Which of the following foods do you eat regularly? (You may select more than one.) / Leafy vegetables (e.g., spinach, kale);What are your main reasons for choosing what you eat? (You may select more than one.) / Health and nutrition;What are your main reasons for choosing what you eat? (You may select more than one.) / Taste and enjoyment;What are your main reasons for choosing what you eat? (You may select more than one.) / Convenience and speed;What are your main reasons for choosing what you eat? (You may select more than one.) / Price and budget;What are your main reasons for choosing what you eat? (You may select more than one.) / Animal welfare;What are your main reasons for choosing what you eat? (You may select more than one.) / Environmental concerns;What are your main reasons for choosing what you eat? (You may select more than one.) / Religious or ethical beliefs;What are your main reasons for choosing what you eat? (You may select more than one.) / Habit or tradition;Why do you eat the way you do today? Please explain the reasons for your current eating habits. / ;Can you describe a typical meal that represents your usual eating behavior? / ;What does a ‘healthy meal’ mean to you personally, and how do you try to achieve it? / ;What is your age?;Who lives in your household with you?;What is your highest completed level of education?;How do you usually get your food?;;;;;;;;;;;;;;;
4;4;04.06.2025 10:27;04.06.2025 10:28;51;de;vollständige Befragung;;13;Rarely;3–5× per week;1–2× per week;3–5× per week;3–5× per week;Rarely;1–2× per week;3–5× per week;Daily;Never;Strongly disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Sometimes;Rarely;Never;Rarely;Rarely;Never;Rarely;Sometimes;Never;Sometimes;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;;;Bacon or sausage;;Fish or seafood;;;;;Health and nutrition;;;;Animal welfare;;;;hungry;pizza;salad;35–44;I live alone;Vocational training;I buy groceries and cook most of the time;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___91e99997a832d66cc0b11405167f71ab_OVPRAXC;84;95;70;-999;04.06.2025 10:28
5;5;04.06.2025 10:48;04.06.2025 10:55;385;en;Screenout ReDem® Quality Check;;13;1–2× per week;1–2× per week;Rarely;1–2× per week;Daily;3–5× per week;3–5× per week;Never;Daily;Rarely;Disagree;Neutral;Strongly agree;Neutral;Agree;Agree;Agree;Disagree;Disagree;Disagree;Always;Rarely;Sometimes;Often;Often;Sometimes;Sometimes;Sometimes;Rarely;Often;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;Chicken;Cheese;Bacon or sausage;Eggs;;;Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;;Price and budget;;;;Habit or tradition;A combination of what I think is healthy and what tastes good.;Pasta with salad;little sugar and little salt, avoid red meat whene verer possible. During the week no alkoholic beverages;45–59;I live with children;University or college degree;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.18;80.121.50.18;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___068b94ba2d1e66992e81f7a404ecc50f_OVPRAXC;61;90;20;-999;04.06.2025 10:55
7;7;04.06.2025 11:45;04.06.2025 11:46;66;de;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;3–5× per week;Daily;Several times per day;Daily;1–2× per week;Rarely;Never;Strongly disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Rarely;Sometimes;Sometimes;Rarely;Rarely;Sometimes;Sometimes;Rarely;Sometimes;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;Chicken;;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;;;;;Convenience and speed;;Animal welfare;;;;gsgaerg;vsfdvbasds;dfvava;25–34;I live with parents or other family members;High school diploma;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.18;80.121.50.18;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___528fee7395548f35d9b727d5d01a1bde_OVPRAXC;51;62;0;-999;04.06.2025 11:46
9;9;04.06.2025 14:07;04.06.2025 14:09;112;en;Screenout ReDem® Quality Check;;13;Rarely;Never;1–2× per week;1–2× per week;1–2× per week;Rarely;3–5× per week;1–2× per week;3–5× per week;3–5× per week;Disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Sometimes;Rarely;Never;Rarely;Rarely;Rarely;Rarely;Rarely;Sometimes;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;;;Bacon or sausage;;;;;;;;;;Price and budget;;;;;potatoes with meat;meat with salad;very much food;25–34;I live with children;Vocational training;I buy groceries and cook most of the time;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___942463016304d49a025b2a6fd543119c_OVPRAXC;64;87;20;-999;04.06.2025 14:09
11;11;04.06.2025 15:40;04.06.2025 15:40;584;en;Aufruf Fragebogen;;1;Never;Rarely;Rarely;Rarely;Never;;Never;Rarely;Rarely;Rarely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.18;;5;1;0;;0;;2___40a7ce5e3746175bd79d76b593339046_OVPRAXC;;;;;0
12;12;04.06.2025 15:51;04.06.2025 15:51;;de;Aufruf Fragebogen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.18;;5;1;0;;0;;2___065e0bad932ed814ca170d0a3a9d5552_OVPRAXC;;;;;0
14;14;04.06.2025 17:22;04.06.2025 17:22;;en;Aufruf Fragebogen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.18;;5;1;0;;0;;2___6b898ac7cb91fc02f5e709369d3649a3_OVPRAXC;;;;;0
19;19;08.06.2025 21:21;08.06.2025 21:25;168;de;Redem® Prüfung Complete;;13;3–5× per week;1–2× per week;3–5× per week;Daily;Never;Rarely;Several times per day;3–5× per week;1–2× per week;3–5× per week;Strongly agree;Disagree;Agree;Disagree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;Neutral;Strongly disagree;Sometimes;Rarely;Never;Never;Rarely;Often;Never;Rarely;Never;Always;Pescatarian – I don’t eat meat, but I do eat fish and seafood;;;Bacon or sausage;;Fish or seafood;;;;Leafy vegetables (e.g., spinach, kale);;;;;;;;Habit or tradition;i eat the way i do ce zty n coniod n don't like cooking much. also, i don't hamprepare healthy meals.;yeah, i usually go for a quick and easy meal like a sandwich or some pasta. i don't really cook much, so i tend to grab something simple and fast to eat.;a healthy meal means lot of vegtables and lean protein. i try to cook at home more often and avoid fast food.;60 or older;I live with parents or other family members;Secondary school;I mostly eat out or order take-away food;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___202cf212e8e7a6954b71284769625d13_OVPRAXC;;;;;0
20;20;09.06.2025 17:19;09.06.2025 17:20;82;en;Teilbefragung;;9;3–5× per week;3–5× per week;Never;Several times per day;3–5× per week;Daily;Rarely;1–2× per week;Rarely;Daily;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly agree;Agree;Disagree;Neutral;Neutral;Strongly disagree;Often;Often;Rarely;Never;Sometimes;Often;Never;Never;Never;Rarely;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;;;Bacon or sausage;;Fish or seafood;;Milk or dairy products;;;Health and nutrition;;;Price and budget;;Environmental concerns;;Habit or tradition;I goeoadt  etxhea mplwea y foIr  mdyo  ptaodtiayen tsb.ecause I'm;Yes, sure! You can say that my typical meal consists of grilled chicken, quinoa, and roasted vegetables.;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3,4,5,6,7,8;2___e95fefedbcac6f344eedfa32d5d43458_OVPRAXC;;;;;0
21;21;10.06.2025 09:13;10.06.2025 09:16;174;en;Teilbefragung;;8;Rarely;Daily;Never;Rarely;Never;Rarely;Rarely;Daily;1–2× per week;Never;Agree;Agree;Disagree;Agree;Strongly disagree;Disagree;Agree;Strongly disagree;Neutral;Strongly disagree;Never;Often;Rarely;Sometimes;Rarely;Often;Always;Sometimes;Rarely;Always;Flexitarian – I mostly avoid meat but eat it occasionally;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);;;;;Animal welfare;;;;I eat the way I do because I prioritize my health and well-being. I try to consume a balanced diet to fuel my body and mind for my demanding job as a dentist. Additionally, I enjoy exploring different cuisines and flavors, which motivates me to cook and eat diverse meals.;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3,4,5,6,7;2___037c7aa8f3d122139da26c750ff2a6de_OVPRAXC;;;;;0
23;23;11.06.2025 15:43;11.06.2025 15:44;82;de;vollständige Befragung;;13;1–2× per week;Rarely;1–2× per week;Rarely;1–2× per week;1–2× per week;1–2× per week;Rarely;1–2× per week;1–2× per week;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Never;Sometimes;Never;Rarely;Sometimes;Never;Sometimes;Rarely;Sometimes;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;;Cheese;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;;;Health and nutrition;Taste and enjoyment;;;;Environmental concerns;;;I was in a hurry;potatoas meat salad;yoghurt fruits;35–44;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___f7888b869cfa8231d6d5d613585856de_OVPRAXC;84;94;70;-999;11.06.2025 15:44
24;24;12.06.2025 14:25;12.06.2025 14:46;706;en;vollständige Befragung;;13;Several times per day;Daily;Never;Never;3–5× per week;Several times per day;3–5× per week;Rarely;Rarely;1–2× per week;Disagree;Strongly agree;Neutral;Strongly disagree;Agree;Disagree;Neutral;Strongly agree;Strongly disagree;Disagree;Never;Sometimes;Often;Always;Always;Rarely;Sometimes;Never;Always;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;;;;;;;Milk or dairy products;Fruits;;Health and nutrition;Taste and enjoyment;Convenience and speed;;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;I eat mainly coz I like to keep my health on track. Also, try to cook at home more often for me and my kids, even though sometimes busy with work and all that.;Yes, I love pasta with a creamy sauce and chicken, it's one of my go-to dishes. Also, I'm a big fan of chocolate cake for dessert. Yummy!;I try to eat lot fruits and vegies, and cook from scratch at home. I also avoid junk food and sugary drinks.;35–44;I live with parents or other family members;No formal education;I share cooking and shopping with others;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";109.40.51.117;109.40.51.117;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___a82157d3696d91d561dad1c6ac40b2a6_OVPRAXC;99;97;100;-999;12.06.2025 14:46
27;27;12.06.2025 17:36;12.06.2025 17:37;86;de;Redem® Prüfung Complete;;13;Never;Rarely;1–2× per week;1–2× per week;1–2× per week;3–5× per week;Daily;Several times per day;3–5× per week;1–2× per week;Strongly disagree;Disagree;Neutral;Disagree;Neutral;Agree;Disagree;Neutral;Strongly disagree;Neutral;Never;Rarely;Never;Sometimes;Sometimes;Rarely;Rarely;Often;Always;Often;Flexitarian – I mostly avoid meat but eat it occasionally;;;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;Fruits;;;Taste and enjoyment;;Price and budget;;Environmental concerns;;;A healthy meal to me means a balanced combination of whole foods that nourish the body—lean proteins, plenty of vegetables, whole grains, and minimal processed ingredients.;I try to achieve this by cooking most meals myself, focusing on fresh produce and avoiding added sugars or artificial additives.;lean proteins, plenty of vegetables, whole grains, and minimal processed ingredients.;35–44;I live with parents or other family members;Secondary school;Someone else does most of the shopping/cooking;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";194.166.93.145;194.166.93.145;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___6f037a4da2b959e851986b76603f4274_OVPRAXC;;;;;0
28;28;13.06.2025 08:54;13.06.2025 08:56;75;en;Redem® Prüfung Complete;;13;3–5× per week;1–2× per week;1–2× per week;1–2× per week;1–2× per week;Rarely;3–5× per week;1–2× per week;Rarely;3–5× per week;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Never;Rarely;Rarely;Never;Rarely;Rarely;Rarely;Rarely;Sometimes;Sometimes;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);;Cheese;;;Fish or seafood;;Milk or dairy products;;;;Taste and enjoyment;Convenience and speed;;Animal welfare;;;;I was very hungry;wheat product meat salad;yoghurt fruits;35–44;I live with children;Vocational training;I buy groceries and cook most of the time;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___f9be189a323fbc4cd7c68e07bc8c9b77_OVPRAXC;;;;;0
